date,wheat
1992-01-31,169.954772949219
1992-02-29,177.130599975586
1992-03-31,169.350738525391
1992-04-30,159.931198120117
1992-05-31,149.689117431641
1992-06-30,148.665725708008
1992-07-31,136.31901550293
1992-08-31,128.168487548828
1992-09-30,138.735794067383
1992-10-31,140.581283569336
1992-11-30,147.574188232422
1992-12-31,147.827651977539
1993-01-31,155.650772094727
1993-02-28,148.884384155273
1993-03-31,147.899658203125
1993-04-30,141.992401123047
1993-05-31,136.580810546875
1993-06-30,121.81778717041
1993-07-31,127.522399902344
1993-08-31,129.797012329102
1993-09-30,131.294311523438
1993-10-31,135.956161499023
1993-11-30,146.501602172852
1993-12-31,158.645385742188
1994-01-31,153.207977294922
1994-02-28,147.037521362305
1994-03-31,141.04377746582
1994-04-30,140.452667236328
1994-05-31,140.147354125977
1994-06-30,139.304428100586
1994-07-31,137.600448608398
1994-08-31,146.024124145508
1994-09-30,158.785140991211
1994-10-31,167.188064575195
1994-11-30,161.986770629883
1994-12-31,164.62174987793
1995-01-31,156.213088989258
1995-02-28,154.420104980469
1995-03-31,150.385986328125
1995-04-30,148.978652954102
1995-05-31,158.611557006836
1995-06-30,169.98078918457
1995-07-31,190.08528137207
1995-08-31,184.393295288086
1995-09-30,193.67127990722696
1995-10-31,203.791748046875
1995-11-30,204.067321777344
1995-12-31,208.924942016602
1996-01-31,196.4283016666666
1996-02-29,206.166963968254
1996-03-31,205.2571207936508
1996-04-30,239.5162157142857
1996-05-31,248.5948682608696
1996-06-30,215.2260275
1996-07-31,196.38691057971016
1996-08-31,181.49701166666657
1996-09-30,170.9805288888889
1996-10-31,169.5959849275363
1996-11-30,169.2658244444445
1996-12-31,167.8310717460317
1997-01-31,167.7907526086957
1997-02-28,164.1707026666667
1997-03-31,167.7085928571428
1997-04-30,175.5679200000001
1997-05-31,168.402905
1997-06-30,141.200661904762
1997-07-31,130.408065652174
1997-08-31,139.3459815873016
1997-09-30,138.239695
1997-10-31,136.2071747826087
1997-11-30,135.3820398333332
1997-12-31,129.7291065942029
1998-01-31,127.3502083333333
1998-02-28,128.308884
1998-03-31,128.2353966666667
1998-04-30,118.197695
1998-05-31,118.3496006349206
1998-06-30,112.3688133333334
1998-07-31,106.6205353623188
1998-08-31,97.00327999999996
1998-09-30,97.57113666666672
1998-10-31,112.1556682539683
1998-11-30,115.6113226190475
1998-12-31,111.8045874637681
1999-01-31,111.8932134920635
1999-02-28,104.278526
1999-03-31,104.5756704347826
1999-04-30,102.3311116666667
1999-05-31,99.61033063492069
1999-06-30,99.94277333333332
1999-07-31,93.01396761904762
1999-08-31,98.0220816666666
1999-09-30,94.79866000000004
1999-10-31,88.55223666666676
1999-11-30,91.67544833333332
1999-12-31,90.43734652173907
2000-01-31,93.62286266666672
2000-02-29,98.16682944444447
2000-03-31,96.3962107246377
2000-04-30,94.43122333333324
2000-05-31,99.11204695652174
2000-06-30,103.366615
2000-07-31,97.12575888888884
2000-08-31,96.65181884057968
2000-09-30,103.4421701587302
2000-10-31,107.775855
2000-11-30,105.0367816666666
2000-12-31,113.7400201666666
2001-01-31,109.479425
2001-02-28,103.3231906666666
2001-03-31,105.571235
2001-04-30,106.1542026984127
2001-05-31,110.7741672463768
2001-06-30,109.4261387301588
2001-07-31,108.3437116666666
2001-08-31,104.2242092753623
2001-09-30,103.176216
2001-10-31,104.8312785507247
2001-11-30,106.80159111111108
2001-12-31,104.3703851666666
2002-01-31,106.1891966666667
2002-02-28,103.837602
2002-03-31,102.5515736666668
2002-04-30,104.8029583333334
2002-05-31,104.0964052173912
2002-06-30,115.411857
2002-07-31,132.6446366666666
2002-08-31,149.6135300000001
2002-09-30,173.3426217460316
2002-10-31,180.0439666666666
2002-11-30,164.2791839682539
2002-12-31,149.1959883333333
2003-01-31,140.4832855555555
2003-02-28,141.6565043859649
2003-03-31,129.2458475
2003-04-30,126.0482736507937
2003-05-31,131.0524111111111
2003-06-30,118.1571338095238
2003-07-31,115.77595333333332
2003-08-31,133.4844919047619
2003-09-30,130.6499804761905
2003-10-31,130.0566044927537
2003-11-30,141.3470840350877
2003-12-31,145.0674953968254
2004-01-31,147.2896123809525
2004-02-29,141.7338594736842
2004-03-31,142.548725
2004-04-30,146.0648234920634
2004-05-31,143.1842673684211
2004-06-30,136.8614098412698
2004-07-31,132.387431
2004-08-31,122.05578
2004-09-30,126.8207655
2004-10-31,123.0562893650794
2004-11-30,127.1330866666666
2004-12-31,123.5545730434783
2005-01-31,122.7789621666666
2005-02-28,123.129960877193
2005-03-31,129.9556683333334
2005-04-30,120.0643050793651
2005-05-31,119.1544619047619
2005-06-30,122.47332166666672
2005-07-31,130.1644391666666
2005-08-31,131.558302173913
2005-09-30,137.3863193650793
2005-10-31,143.0728392063492
2005-11-30,136.3539973015872
2005-12-31,139.99337
2006-01-31,144.5679565
2006-02-28,158.8873501754386
2006-03-31,155.7931466666667
2006-04-30,161.2080028070176
2006-05-31,176.6034233333333
2006-06-30,176.920755
2006-07-31,181.34836683333336
2006-08-31,165.1293783333334
2006-09-30,164.9423196666666
2006-10-31,182.432305
2006-11-30,182.30107761904767
2006-12-31,179.5295553333334
2007-01-31,172.5666305
2007-02-28,175.26729
2007-03-31,173.313195
2007-04-30,178.5558481666666
2007-05-31,178.0063633333333
2007-06-30,206.5169036507937
2007-07-31,222.00173460317447
2007-08-31,240.686992173913
2007-09-30,297.9524591228071
2007-10-31,303.6304907246377
2007-11-30,286.495618095238
2007-12-31,339.2256959259258
2008-01-31,336.1170650793652
2008-02-29,393.8737348333333
2008-03-31,403.8128966666666
2008-04-30,326.8516166666667
2008-05-31,288.4202863492064
2008-06-30,314.1583500000001
2008-07-31,299.42748
2008-08-31,304.1640726666666
2008-09-30,263.0496593650794
2008-10-31,202.77493500000008
2008-11-30,194.1146296078431
2008-12-31,188.8449496825397
2009-01-31,211.27608333333328
2009-02-28,195.22490263157889
2009-03-31,199.1005683333334
2009-04-30,200.8876466666667
2009-05-31,227.186091
2009-06-30,227.31469383333328
2009-07-31,195.3259916666666
2009-08-31,179.5540511111111
2009-09-30,156.9304506349206
2009-10-31,163.7264383333332
2009-11-30,177.6072814035088
2009-12-31,171.1554987301588
2010-01-31,167.8218628070175
2010-02-28,160.1615603703704
2010-03-31,156.4641179710145
2010-04-30,156.8254687301588
2010-05-31,158.3284596666667
2010-06-30,149.21269
2010-07-31,182.73850222222217
2010-08-31,219.87744166666675
2010-09-30,240.4321828333334
2010-10-31,234.59956317460316
2010-11-30,241.8401333333334
2010-12-31,274.4568181666668
2011-01-31,295.9886068333333
2011-02-28,317.6006514035087
2011-03-31,285.37581111111115
2011-04-30,307.25440842105274
2011-05-31,307.1945503174603
2011-06-30,285.29787
2011-07-31,271.4622093333333
2011-08-31,288.6883083333334
2011-09-30,272.340557936508
2011-10-31,251.5891347619049
2011-11-30,244.5378501587302
2011-12-31,236.0596865
2012-01-31,243.7023691666668
2012-02-29,245.9804765
2012-03-31,243.4935983333332
2012-04-30,228.0863108333332
2012-05-31,228.87964
2012-06-30,241.9657934920636
2012-07-31,310.7464380952381
2012-08-31,315.5482191304348
2012-09-30,316.6530515789474
2012-10-31,318.4078349275362
2012-11-30,319.45993619047607
2012-12-31,303.03855614035086
2013-01-31,288.2103225396826
2013-02-28,271.67858870370367
2013-03-31,263.341859
2013-04-30,264.1702616666668
2013-05-31,276.0451466666666
2013-06-30,266.8508791666666
2013-07-31,257.4728933333333
2013-08-31,258.9259383333334
2013-09-30,257.499616
2013-10-31,278.14955666666674
2013-11-30,259.77772333333326
2013-12-31,246.11257873015876
2014-01-31,229.9803593650794
2014-02-28,242.79828157894727
2014-03-31,275.612493968254
2014-04-30,276.3823612698412
2014-05-31,287.9128738095238
2014-06-30,261.6499006349206
2014-07-31,238.549905
2014-08-31,229.15800111111096
2014-09-30,211.1711014285714
2014-10-31,210.72492833333328
2014-11-30,215.98791823529416
2014-12-31,234.8588366666666
2015-01-31,213.0214075
2015-02-28,201.7420687719298
2015-03-31,202.69142666666656
2015-04-30,195.93122825396836
2015-05-31,193.2165711666666
2015-06-30,199.8354416666666
2015-07-31,199.21748
2015-08-31,173.5175915873016
2015-09-30,164.0692201587302
2015-10-31,165.4514819047619
2015-11-30,157.8043789473684
2015-12-31,163.893455
2016-01-31,164.6116266666668
2016-02-29,159.283795
2016-03-31,164.0604716666667
2016-04-30,163.3868377777778
2016-05-31,157.560342063492
2016-06-30,156.6950366666667
2016-07-31,133.7102030000001
2016-08-31,127.8999110144928
2016-09-30,123.2487561904762
2016-10-31,122.5585001666668
2016-11-30,122.5497977192982
2016-12-31,122.8463255555556
2017-01-31,137.1457358333333
2017-02-28,147.3614421052632
2017-03-31,146.4314994202899
2017-04-30,138.4075907017544
2017-05-31,146.4402133333332
2017-06-30,157.2461916666666
2017-07-31,174.53241666666673
2017-08-31,139.0508150724638
2017-09-30,138.4133923333333
2017-10-31,133.344516031746
2017-11-30,138.0459556666667
2017-12-31,147.1032695
2018-01-31,156.3880441269842
2018-02-28,172.289119122807
2018-03-31,180.91881587301592
2018-04-30,180.37640936507927
2018-05-31,192.70383
2018-06-30,193.0792198412698
2018-07-31,196.8060774603175
2018-08-31,211.29205884057967
2018-09-30,191.144421754386
2018-10-31,188.4616066666666
2018-11-30,181.552390877193
2018-12-31,188.5358362962962
2019-01-31,188.8449496825397
2019-02-28,177.916701754386
2019-03-31,164.5066447619048
2019-04-30,159.0300887301588
2019-05-31,158.281695
2019-06-30,174.6977631666666
2019-07-31,163.8767533333334
2019-08-31,149.363005
2019-09-30,146.5704863333333
2019-10-31,153.22109
2019-11-30,157.5282642592593
2019-12-31,165.2546408333334
2020-01-31,178.2417773015873
2020-02-29,172.2311028070175
2020-03-31,170.8747516666666
2020-04-30,179.746517936508
2020-05-31,174.9549688333334
2020-06-30,169.7223366666666
2020-07-31,170.5741216666668
2020-08-31,174.182476984127
2020-09-30,204.13731380952376
2020-10-31,203.4263
2020-11-30,210.75393649122816
2020-12-31,217.3125428571429
2021-01-31,237.9442498245614
2021-02-28,240.80638807017536
2021-03-31,229.88754927536232
