,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,tb3ms,baa10y,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,copper,wheat
1992-03-31,2.6099852118403235,-0.39003531977070865,0.1,4.162302,-0.013759613,0.0018620491,17.47736850537752,7.34,3.84,1.9,-0.006082021617321409,-0.0015246487791653607,0.06561429470125724,0.0026297542457223155,0.007034889592290483,0.2844725549221039,2.1098380088806152,0.026753748720269144,0.04135495328379957
1992-04-30,2.6756317424411082,-0.39003531977070865,-0.1,4.1613917,-0.010804176,-0.013759613,17.520454623482443,7.54,4.04,1.7,-0.023686011720731592,-0.027413102173534654,0.04935758935735457,-0.0003283413320023243,0.008489522000498795,0.3248175084590912,1.981751799583435,0.010310792618989595,-0.04491537326810313
1992-05-31,2.707334125167566,-0.39003531977070865,0.0,4.163453,0.0060043335,-0.010804176,16.562856946672714,7.48,3.75,1.63,0.07051566501910056,-0.016751006648240363,0.014453562308812451,0.007760077469238125,0.00756146666679669,0.1472587287425995,1.9861048460006714,-0.007925764610944519,-0.0572282291924715
1992-06-30,2.770757996806049,-0.39003531977070865,0.0,4.1604896,-0.018938541,0.0060043335,15.076999950408936,7.39,3.63,1.77,0.04997245014361562,-0.004083691645610621,0.1285387533345812,-0.0034636936530139106,0.0032856911647831666,0.19706997275352478,1.825685977935791,0.002322437435046787,-0.06618311806730315
1992-07-31,2.739990162263676,-0.4812118250595971,-0.1,4.161874,0.0041017532,-0.018938541,15.203181873668324,7.26,3.66,1.86,0.061885002640814424,0.010530294193200618,0.03215475291260361,-0.005282055156408116,0.0005117224959834132,0.17713427543640137,2.2141785621643066,0.034162327037800644,-0.0068602589220976284
1992-08-31,2.7188814819387828,-0.4812118250595971,0.1,4.166548,0.007815838,0.0041017532,13.601818214763295,6.84,3.21,1.97,-0.04453769906381844,0.034349403802006684,0.0039264219501653486,-0.007754890228955702,0.009164938072931506,0.0946073830127716,1.73699152469635,0.09578467096759535,-0.08670249291487142
1992-09-30,2.7422792839828904,-0.9503469298211292,-0.6,4.159983,-0.00022172928,0.007815838,14.42190474555606,6.59,3.13,2.06,-0.024938441965815183,-0.027769182068003495,-0.0480635611179796,-0.0025061284239229487,-0.005607554576631202,0.17436453700065613,1.8211407661437988,-0.00548135046808973,-0.06165213377905143
1992-10-31,2.728217151487821,-0.9503469298211292,0.6,4.165362,0.004371166,-0.00022172928,13.696666581290108,6.42,2.91,2.29,0.026591423611981746,0.00688465877849076,-0.005197091985067459,0.017212947504758658,0.0032931151719015617,0.24566252529621124,1.700445294380188,-0.0380561639549537,0.07922565496521994
1992-11-30,2.6613268650884407,-0.9503469298211292,0.0,4.167058,0.013216972,0.004371166,17.636818278919566,6.59,2.86,2.19,-0.0004037232307836369,-0.0030443189021305272,0.04419353678715865,0.00927854735054412,0.00672889068479865,0.1686280071735382,1.481773853302002,-0.06715672418740315,0.013214489947122487
1992-12-31,2.6128665066222427,-0.8813735870195377,0.1,4.1664395,-0.0047678947,0.013216972,14.424499940872192,6.87,3.13,2.0,-0.05308418724654418,-0.027555467322498473,0.03449830040486468,0.0298619471895345,0.0037850447982945568,0.25650840997695923,2.0712099075317383,-0.0455152112844015,0.04854516816758103
1993-01-31,2.592103713253128,-0.8813735870195377,-0.1,4.160696,0.0052895546,-0.0047678947,12.19136363809759,6.77,3.22,2.06,-0.05756085649730247,-0.0005971575479017943,-0.1397894502078394,0.005582477563855992,0.0016874963663999765,0.20145855844020844,1.990410566329956,0.022938446428147685,0.0017160611263502545
1993-02-28,2.640005267920583,-0.8813735870195377,0.0,4.1684146,-0.002711296,0.0052895546,12.408999967575074,6.6,3.0,2.11,-0.042427908832405326,-0.017504928547412035,0.07662019617246507,0.004015374566716412,0.003832542487244517,0.2228051871061325,2.8389692306518555,0.023353056535359684,0.05156777580376826
1993-03-31,2.6531633320277312,-0.8813735870195377,0.0,4.1754866,0.005844116,-0.002711296,13.721578949376157,6.26,2.93,2.2,0.060283019677725314,0.0009114109271077808,0.03728172589941536,-0.0060291242924326305,0.004804393879324742,0.15806706249713898,1.9494937658309937,-0.02324858150631748,-0.04444479785222555
1993-04-30,2.645888701165054,-0.8813735870195377,0.0,4.1746163,-0.011794567,0.005844116,13.606086855349334,5.98,2.95,2.18,0.017121947225082312,0.002335492955606533,0.04898378186513419,-0.003708253798915262,-0.0008739137323683366,0.19365359842777252,2.164163827896118,-0.02740478440618599,-0.006636000763233341
1993-05-31,2.6266967256709353,-0.8813735870195377,0.0,4.177452,-0.011739731,-0.011794567,12.840952419099354,5.97,2.87,2.12,-0.005911294660936317,0.0359141880755649,0.0580994760251663,-0.00449266110662494,0.0027394050036360085,0.2219294011592865,2.441223382949829,-0.09688993008392899,-0.04076051576285433
1993-06-30,2.581392139820594,-0.8813735870195377,0.0,4.1803255,0.003124237,-0.011739731,13.6060001373291,6.04,2.96,2.1,-0.008961573311157434,0.07060295363355351,0.06293855495632705,0.006235337950074804,-0.0037915803418799854,0.26761820912361145,2.5114939212799072,-0.0822579374401693,-0.03885708484187056
1993-07-31,2.514790143715252,-0.8813735870195377,0.0,4.176806,-0.0047678947,0.003124237,12.52409081025557,5.96,3.07,2.16,-0.047307092443958254,0.012745920588808524,0.015397326359344987,0.005608189090568816,0.0022526473495334542,0.23136956989765167,2.272256374359131,0.032004619038385584,-0.11439007761407716
1993-08-31,2.520688338974291,-0.9503469298211292,-0.1,4.1769447,0.010143757,-0.0047678947,11.500476201375326,5.81,3.04,2.05,-0.050973512053612335,0.05314830462101039,-0.029969219817322923,0.0,0.002693116497312964,0.28890395164489746,2.617969036102295,0.03670966896383998,0.04576565418071876
1993-09-30,2.4914370046675494,-1.0159731341796878,-1.110223e-16,4.175749,-0.0029625893,0.010143757,11.928636420856822,5.68,3.02,1.91,-0.004736200887711206,-0.03463246388397856,0.057012530784401605,0.005301387838125171,-0.0012064683528301146,0.28907090425491333,2.1235592365264893,0.012237924524811206,0.017679751833551194
1993-10-31,2.5227020908905393,-1.0159731341796878,0.1,4.179465,0.00018882751,-0.0029625893,12.931428409758068,5.36,2.95,2.0,-0.04185349225647128,-0.06420774137405338,0.01811930682995566,-0.000861504584797057,0.005291488315735116,0.2478877156972885,1.9028000831604004,-0.04874346174375699,0.011469669591184228
1993-11-30,2.4369124016700505,-0.8813735870195379,0.2,4.1795044,0.007712364,0.00018882751,11.875238100687662,5.33,3.02,1.96,0.03647713522009077,0.024742039919850356,0.12769444732886015,0.0,0.007303652422303131,0.28040093183517456,2.323782444000244,-0.12067977520912088,0.03489103575287533
1993-12-31,2.294348944858109,-0.8813735870195379,-0.2,4.1824718,0.001057148,0.007712364,14.083809534708658,5.72,3.1,1.91,-0.08874805638458039,0.026152897719188495,0.08921012957230978,0.003132317031639076,0.0045590055532489515,0.294376403093338,1.7831765413284302,-0.008801108644879818,0.07470387287700131
1994-01-31,2.327561079064223,-0.7326682560454053,0.2,4.1882963,0.006392479,0.001057148,11.356363556601785,5.77,3.06,1.94,-0.10178513606492912,0.025016823763623464,0.10837769928441965,-0.0008595496489332,0.00590527084702952,0.22523315250873566,1.7174028158187866,0.0542753744896185,0.07963506836356693
