,topic_conflict,topic_coop,topic_trade,topic_military,topic_diplomatic
2013-06-01,0.03519061583577713,0.5131964809384164,,,
2013-07-01,0.0297951582867784,0.6908752327746741,,,
2013-08-01,0.04878048780487805,0.6097560975609756,,,
2013-09-01,0.01675977653631285,0.723463687150838,,,
2013-10-01,0.008305647840531562,0.6611295681063123,,,
2013-11-01,0.05649717514124294,0.6610169491525424,,,
2013-12-01,0.03513513513513514,0.5297297297297298,,,
2014-01-01,0.100990099009901,0.4178217821782178,,,
2014-02-01,0.01858736059479554,0.6115241635687733,,,
2014-03-01,0.029197080291970802,0.656934306569343,,,
2014-04-01,0.022573363431151242,0.5688487584650113,,,
2014-05-01,0.04316546762589928,0.5863309352517986,,,
2014-06-01,0.07142857142857142,0.5824175824175825,,,
2014-07-01,0.022684310018903593,0.610586011342155,,,
2014-08-01,0.07124681933842239,0.5572519083969466,,,
2014-09-01,0.029055690072639227,0.5351089588377724,,,
2014-10-01,0.030828516377649325,0.5915221579961464,,,
2014-11-01,0.0171875,0.7515625,,,
2014-12-01,0.04535637149028078,0.6069114470842333,,,
2015-01-01,0.04455445544554455,0.5717821782178217,,,
2015-02-01,0.011627906976744186,0.624031007751938,,,
2015-03-01,0.047619047619047616,0.6536796536796536,,,
2015-04-01,0.002207505518763797,0.6114790286975718,,,
2015-05-01,0.012345679012345678,0.5692729766803841,,,
2015-06-01,0.02610441767068273,0.5923694779116466,,,
2015-07-01,0.012925969447708578,0.6521739130434783,,,
2015-08-01,0.05802047781569966,0.6006825938566553,,,
2015-09-01,0.017223910840932118,0.6808510638297872,,,
2015-10-01,0.033962264150943396,0.6289308176100629,,,
2015-11-01,0.03617571059431524,0.6847545219638242,,,
2015-12-01,0.024834437086092714,0.5745033112582781,,,
2016-01-01,0.0436046511627907,0.5930232558139535,,,
2016-02-01,0.026016260162601626,0.5788617886178862,,,
2016-03-01,0.036328871892925434,0.5430210325047801,,,
2016-04-01,0.03787878787878788,0.5621212121212121,,,
2016-05-01,0.02459016393442623,0.35792349726775957,,,
2016-06-01,0.03862660944206009,0.544206008583691,,,
2016-07-01,0.06489675516224189,0.5147492625368731,,,
2016-08-01,0.015037593984962405,0.5087719298245614,,,
2016-09-01,0.02295552367288379,0.5968436154949784,,,
2016-10-01,0.024324324324324326,0.6432432432432432,,,
2016-11-01,0.03944773175542406,0.6518737672583826,,,
2016-12-01,0.0375,0.5325,,,
2017-01-01,0.034530386740331494,0.4861878453038674,,,
2017-02-01,0.05641025641025641,0.5982905982905983,,,
2017-03-01,0.021715526601520086,0.6047774158523345,,,
2017-04-01,0.061872909698996656,0.4782608695652174,,,
2017-05-01,0.026627218934911243,0.6035502958579881,,,
2017-06-01,0.03864734299516908,0.6392914653784219,,,
2017-07-01,0.013440860215053764,0.5376344086021505,,,
2017-08-01,0.03766233766233766,0.509090909090909,,,
2017-09-01,0.019646365422396856,0.5599214145383105,,,
2017-10-01,0.017064846416382253,0.6621160409556314,,,
2017-11-01,0.02425876010781671,0.6293800539083558,,,
2017-12-01,0.042606516290726815,0.5463659147869674,,,
2018-01-01,0.034482758620689655,0.6379310344827587,,,
2018-02-01,0.019955654101995565,0.5077605321507761,,,
2018-03-01,0.019548872180451128,0.5172932330827068,,,
2018-04-01,0.038348082595870206,0.5988200589970502,,,
2018-05-01,0.030020703933747412,0.567287784679089,,,
2018-06-01,0.06430868167202572,0.5916398713826366,,,
2018-07-01,0.07327586206896551,0.5,,,
2018-08-01,0.024916943521594685,0.4269102990033223,,,
2018-09-01,0.03614457831325301,0.5253012048192771,,,
2018-10-01,0.022727272727272728,0.48951048951048953,,,
2018-11-01,0.026917900403768506,0.5383580080753702,,,
2018-12-01,0.05309734513274336,0.4911504424778761,,,
2019-01-01,0.05131578947368421,0.5394736842105263,,,
2019-02-01,0.03561643835616438,0.5616438356164384,,,
2019-03-01,0.0707482993197279,0.49387755102040815,,,
2019-04-01,0.014331210191082803,0.5668789808917197,,,
2019-05-01,0.046473029045643155,0.5360995850622406,,,
2019-06-01,0.03110047846889952,0.45454545454545453,,,
2019-07-01,0.028735632183908046,0.6206896551724138,,,
2019-08-01,0.015604681404421327,0.49154746423927176,,,
2019-09-01,0.05423728813559322,0.5322033898305085,,,
2019-10-01,0.028892455858747994,0.5778491171749599,,,
2019-11-01,0.05405405405405406,0.521021021021021,,,
2019-12-01,0.05274725274725275,0.4879120879120879,,,
2020-01-01,0.024703557312252964,0.6185770750988142,,,
2020-02-01,0.029548989113530325,0.4976671850699845,,,
2020-03-01,0.013966480446927373,0.4972067039106145,,,
2020-04-01,0.037927844588344126,0.45235892691951896,,,
2020-05-01,0.05161290322580645,0.4043010752688172,,,
2020-06-01,0.039603960396039604,0.4792079207920792,,,
2020-07-01,0.04743833017077799,0.34629981024667933,,,
2020-08-01,0.04640371229698376,0.42691415313225056,,,
2020-09-01,0.014846235418875928,0.4941675503711559,,,
2020-10-01,0.0196078431372549,0.41421568627450983,,,
2020-11-01,0.05357142857142857,0.44642857142857145,,,
2020-12-01,0.02054794520547945,0.4771689497716895,,,
2021-01-01,0.06343906510851419,0.3823038397328882,,,
2021-02-01,0.05501618122977346,0.5760517799352751,,,
2021-03-01,0.037102473498233215,0.6060070671378092,,,
2021-04-01,0.08689024390243902,0.5411585365853658,,,
2021-05-01,0.04040404040404041,0.5202020202020202,,,
2021-06-01,0.05511811023622047,0.5177165354330708,,,
2021-07-01,0.038929440389294405,0.44525547445255476,,,
2021-08-01,0.039473684210526314,0.5263157894736842,,,
2021-09-01,0.034530386740331494,0.4157458563535912,,,
2021-10-01,0.029556650246305417,0.4852216748768473,,,
2021-11-01,0.041884816753926704,0.5759162303664922,,,
2021-12-01,0.023965141612200435,0.38562091503267976,,,
2022-01-01,0.019704433497536946,0.3645320197044335,,,
2022-02-01,0.06306306306306306,0.5225225225225225,,,
