,gkg_n_articles,gkg_tone_mean,gkg_pos_score,gkg_neg_score,gkg_sentiment_vol,gkg_conflict_share,gkg_trade_share,gkg_military_share,gkg_diplomatic_share,gkg_sanction_share
2006-06-01,,,,,,,,,,
2006-07-01,,,,,,,,,,
2006-08-01,,,,,,,,,,
2006-09-01,,,,,,,,,,
2006-10-01,,,,,,,,,,
2006-11-01,,,,,,,,,,
2006-12-01,,,,,,,,,,
2007-01-01,,,,,,,,,,
2007-02-01,,,,,,,,,,
2007-03-01,,,,,,,,,,
2007-04-01,,,,,,,,,,
2007-05-01,,,,,,,,,,
2007-06-01,,,,,,,,,,
2007-07-01,,,,,,,,,,
2007-08-01,,,,,,,,,,
2007-09-01,,,,,,,,,,
2007-10-01,,,,,,,,,,
2007-11-01,,,,,,,,,,
2007-12-01,,,,,,,,,,
2008-01-01,,,,,,,,,,
2008-02-01,,,,,,,,,,
2008-03-01,,,,,,,,,,
2008-04-01,,,,,,,,,,
2008-05-01,,,,,,,,,,
2008-06-01,,,,,,,,,,
2008-07-01,,,,,,,,,,
2008-08-01,,,,,,,,,,
2008-09-01,,,,,,,,,,
2008-10-01,,,,,,,,,,
2008-11-01,,,,,,,,,,
2008-12-01,,,,,,,,,,
2009-01-01,,,,,,,,,,
2009-02-01,,,,,,,,,,
2009-03-01,,,,,,,,,,
2009-04-01,,,,,,,,,,
2009-05-01,,,,,,,,,,
2009-06-01,,,,,,,,,,
2009-07-01,,,,,,,,,,
2009-08-01,,,,,,,,,,
2009-09-01,,,,,,,,,,
2009-10-01,,,,,,,,,,
2009-11-01,,,,,,,,,,
2009-12-01,,,,,,,,,,
2010-01-01,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-03-01,,,,,,,,,,
2010-04-01,,,,,,,,,,
2010-05-01,,,,,,,,,,
2010-06-01,,,,,,,,,,
2010-07-01,,,,,,,,,,
2010-08-01,,,,,,,,,,
2010-09-01,,,,,,,,,,
2010-10-01,,,,,,,,,,
2010-11-01,,,,,,,,,,
2010-12-01,,,,,,,,,,
2011-01-01,,,,,,,,,,
2011-02-01,,,,,,,,,,
2011-03-01,,,,,,,,,,
2011-04-01,,,,,,,,,,
2011-05-01,,,,,,,,,,
2011-06-01,,,,,,,,,,
2011-07-01,,,,,,,,,,
2011-08-01,,,,,,,,,,
2011-09-01,,,,,,,,,,
2011-10-01,,,,,,,,,,
2011-11-01,,,,,,,,,,
2011-12-01,,,,,,,,,,
2012-01-01,,,,,,,,,,
2012-02-01,,,,,,,,,,
2012-03-01,,,,,,,,,,
2012-04-01,,,,,,,,,,
2012-05-01,,,,,,,,,,
2012-06-01,,,,,,,,,,
2012-07-01,,,,,,,,,,
2012-08-01,,,,,,,,,,
2012-09-01,,,,,,,,,,
2012-10-01,,,,,,,,,,
2012-11-01,,,,,,,,,,
2012-12-01,,,,,,,,,,
2013-01-01,,,,,,,,,,
2013-02-01,,,,,,,,,,
2013-03-01,,,,,,,,,,
2013-04-01,,,,,,,,,,
2013-05-01,,,,,,,,,,
2013-06-01,,,,,,,,,,
2013-07-01,,,,,,,,,,
2013-08-01,,,,,,,,,,
2013-09-01,,,,,,,,,,
2013-10-01,,,,,,,,,,
2013-11-01,,,,,,,,,,
2013-12-01,,,,,,,,,,
2014-01-01,,,,,,,,,,
2014-02-01,,,,,,,,,,
2014-03-01,,,,,,,,,,
2014-04-01,,,,,,,,,,
2014-05-01,,,,,,,,,,
2014-06-01,,,,,,,,,,
2014-07-01,,,,,,,,,,
2014-08-01,,,,,,,,,,
2014-09-01,,,,,,,,,,
2014-10-01,,,,,,,,,,
2014-11-01,,,,,,,,,,
2014-12-01,,,,,,,,,,
2015-01-01,,,,,,,,,,
2015-02-01,53.0,-0.9102567276528221,2.7690303751418224,3.6792871027946443,3.2174969136478637,0.11320754716981132,0.0,0.22641509433962265,0.1320754716981132,0.11320754716981132
2015-03-01,20.0,-2.2349729912440393,2.547888767916495,4.782861759160536,3.4454831751076234,0.35,0.0,0.45,0.2,0.05
2015-04-01,78.0,-1.4978360353012985,2.4022138191854405,3.900049854486741,2.449251038923813,0.28205128205128205,0.0,0.23076923076923078,0.28205128205128205,0.24358974358974358
2015-05-01,71.0,-0.8477947424254114,2.5989853712446456,3.4467801136700573,2.3294655362036503,0.23943661971830985,0.0,0.29577464788732394,0.07042253521126761,0.056338028169014086
2015-06-01,37.0,0.23038566298389054,3.1411719032223244,2.9107862402384375,2.011211441319124,0.16216216216216217,0.0,0.21621621621621623,0.16216216216216217,0.08108108108108109
2015-07-01,104.0,-1.273872072669975,2.746472021243451,4.020344093913426,2.212384359965136,0.7980769230769231,0.0,0.375,0.28846153846153844,0.3942307692307692
2015-08-01,64.0,-2.058659967635931,2.165871643826228,4.22453161146216,2.8793115544043615,0.546875,0.015625,0.328125,0.140625,0.0625
2015-09-01,91.0,-1.429715793911601,2.2127361958959098,3.6424519898075087,2.7639360016896934,0.45054945054945056,0.0,0.24175824175824176,0.06593406593406594,0.01098901098901099
2015-10-01,72.0,-0.2443017278610552,2.3908968831151918,2.6351986109762473,2.1019257950555335,0.4444444444444444,0.0,0.19444444444444445,0.06944444444444445,0.027777777777777776
2015-11-01,32.0,-2.1012261566365233,2.4520709114770702,4.5532970681135945,3.4122621554658297,0.78125,0.0,0.5625,0.15625,0.0
2015-12-01,69.0,-0.2230307308536778,2.751836477029915,2.974867207883594,2.228142195737462,0.6666666666666666,0.0,0.4492753623188406,0.2463768115942029,0.028985507246376812
2016-01-01,83.0,-0.4547250841659271,2.827328193379531,3.282053277545457,3.143375226420361,0.5301204819277109,0.012048192771084338,0.26506024096385544,0.012048192771084338,0.03614457831325301
2016-02-01,37.0,-0.20307513178752012,2.972419559327932,3.1754946911154533,2.8659140658689126,0.7027027027027027,0.0,0.3783783783783784,0.08108108108108109,0.10810810810810811
2016-03-01,58.0,-1.7145432190833436,2.2475798915498038,3.962123110633148,2.0557000829172063,0.5862068965517241,0.0,0.2413793103448276,0.1724137931034483,0.034482758620689655
2016-04-01,74.0,-1.1681589231082066,2.381102988561663,3.5492619116698703,2.4399022228222043,0.6216216216216216,0.013513513513513514,0.4864864864864865,0.02702702702702703,0.02702702702702703
2016-05-01,70.0,-1.582723740971454,2.283984488345365,3.86670822931682,2.428344898072897,0.3142857142857143,0.0,0.17142857142857143,0.04285714285714286,0.02857142857142857
2016-06-01,102.0,-0.46901047111639543,2.8442570575737225,3.313267528690119,3.0520569193019904,0.6666666666666666,0.0196078431372549,0.4019607843137255,0.058823529411764705,0.0392156862745098
2016-07-01,97.0,-0.12901411075311112,2.8414665446723157,2.9704806554254266,2.6057962424605488,0.5360824742268041,0.0,0.30927835051546393,0.16494845360824742,0.08247422680412371
2016-08-01,77.0,0.13883318153838992,2.839374288763386,2.7005411072249954,2.2037307056020183,0.2727272727272727,0.012987012987012988,0.16883116883116883,0.03896103896103896,0.0
2016-09-01,113.0,-2.0462298759968194,2.5441081510208425,4.590338027017665,2.9354422565329195,0.5221238938053098,0.0,0.36283185840707965,0.035398230088495575,0.035398230088495575
2016-10-01,75.0,-1.8894390764017912,2.2218574782164118,4.111296554618203,2.3473572888597887,0.6533333333333333,0.05333333333333334,0.4533333333333333,0.17333333333333334,0.013333333333333334
2016-11-01,115.0,-0.7141573495336776,2.3974580610015224,3.1116154105351996,1.945933283904006,0.6521739130434783,0.02608695652173913,0.28695652173913044,0.17391304347826086,0.14782608695652175
2016-12-01,94.0,-1.1037078100586666,2.467246946287684,3.5709547563463504,2.5911209446481225,0.7659574468085106,0.031914893617021274,0.5531914893617021,0.1595744680851064,0.1276595744680851
2017-01-01,43.0,-0.28281063909418075,2.923746557090364,3.2065571961845447,2.2646041556433003,0.6744186046511628,0.0,0.37209302325581395,0.20930232558139536,0.09302325581395349
2017-02-01,98.0,-0.7708854822645078,2.627522888506815,3.3984083707713224,2.890257551861246,0.5102040816326531,0.0,0.3979591836734694,0.05102040816326531,0.061224489795918366
2017-03-01,73.0,-0.6451145912714724,2.267126272687269,2.9122408639587425,2.754437496676093,0.4657534246575342,0.0410958904109589,0.3424657534246575,0.2191780821917808,0.0410958904109589
2017-04-01,84.0,-2.5531259301949625,2.307678341501917,4.86080427169688,2.443032148375445,0.5714285714285714,0.0,0.4523809523809524,0.14285714285714285,0.10714285714285714
2017-05-01,60.0,-2.1346355577875,1.9043959362749066,4.0390314940624075,2.9387443856306605,0.7333333333333333,0.0,0.18333333333333332,0.21666666666666667,0.15
2017-06-01,89.0,-1.4380164084717788,2.974527454990545,4.412543863462323,2.3939240654044944,0.24719101123595505,0.0,0.14606741573033707,0.056179775280898875,0.02247191011235955
2017-07-01,74.0,-0.5739815817688575,3.210329647240481,3.784311229009339,1.8372201281319203,0.6486486486486487,0.0,0.22972972972972974,0.12162162162162163,0.04054054054054054
2017-08-01,118.0,-1.6219187509336113,2.485153975932267,4.107072726865879,3.502374788829407,0.6101694915254238,0.00847457627118644,0.3644067796610169,0.1016949152542373,0.07627118644067797
2017-09-01,96.0,-1.3563055437325893,2.695656040209626,4.051961583942215,2.291546277248912,0.7916666666666666,0.020833333333333332,0.46875,0.3333333333333333,0.3125
2017-10-01,30.0,-0.09014953292554144,2.822961858900928,2.9131113918264684,1.99803020214256,0.5333333333333333,0.03333333333333333,0.2,0.13333333333333333,0.06666666666666667
2017-11-01,78.0,-0.7111931404194447,2.6077693742385204,3.318962514657967,2.3203698193928437,0.6538461538461539,0.01282051282051282,0.3974358974358974,0.16666666666666666,0.02564102564102564
2017-12-01,40.0,-0.3537287290193748,2.903491801323241,3.2572205303426167,2.9038035158050977,0.675,0.0,0.3,0.05,0.05
2018-01-01,41.0,-0.45323217314680647,2.5641439921168514,3.017376165263658,1.9401239972513606,0.5121951219512195,0.0,0.24390243902439024,0.024390243902439025,0.0
2018-02-01,59.0,-0.36373219641624105,2.725071623390426,3.088803819806666,2.7981277159109617,0.4915254237288136,0.03389830508474576,0.23728813559322035,0.1016949152542373,0.01694915254237288
2018-03-01,89.0,-1.04836604830721,2.493215192254499,3.541581240561708,2.2992398985073237,0.6067415730337079,0.0898876404494382,0.38202247191011235,0.0449438202247191,0.0449438202247191
2018-04-01,40.0,-1.6927753702674633,2.558527151770128,4.251302522037593,2.342005180338764,0.75,0.125,0.5,0.275,0.1
2018-05-01,58.0,-1.693076756966618,2.074865346623484,3.767942103590102,2.317620942789879,0.6551724137931034,0.3103448275862069,0.2413793103448276,0.3448275862068966,0.43103448275862066
2018-06-01,74.0,-0.7443749593685547,2.730340838885992,3.4747157982545462,2.7664686688283857,0.5135135135135135,0.06756756756756757,0.2702702702702703,0.20270270270270271,0.12162162162162163
2018-07-01,29.0,-1.5581996220978884,2.607553201571611,4.1657528236695,2.4534837380895596,0.5172413793103449,0.20689655172413793,0.4827586206896552,0.2413793103448276,0.034482758620689655
2018-08-01,41.0,-0.4914489239642448,2.416316449186944,2.9077653731511894,2.622565748479036,0.4878048780487805,0.14634146341463414,0.24390243902439024,0.024390243902439025,0.024390243902439025
2018-09-01,64.0,-1.9906807990832578,2.1763307127320672,4.167011511815325,2.321461254408864,0.65625,0.125,0.484375,0.21875,0.125
2018-10-01,40.0,-0.3486329357365026,2.508429236013917,2.8570621717504183,2.51315371971482,0.35,0.2,0.325,0.1,0.075
2018-11-01,89.0,-1.1340810786559254,2.5509412545074843,3.6850223331634107,2.5364697334284867,0.4943820224719101,0.10112359550561797,0.4606741573033708,0.25842696629213485,0.033707865168539325
2018-12-01,86.0,-2.3802772167981674,2.041662068631565,4.421939285429733,3.0708018755631126,0.6976744186046512,0.27906976744186046,0.5813953488372093,0.29069767441860467,0.09302325581395349
2019-01-01,,,,,,,,,,
2019-02-01,91.0,-0.8592757874703429,2.7442667718153984,3.60354255928574,2.438788909031312,0.5274725274725275,0.27472527472527475,0.5274725274725275,0.16483516483516483,0.054945054945054944
2019-03-01,78.0,-0.7779202786903243,2.6432505832986126,3.4211708619889376,2.845085910940093,0.5897435897435898,0.0641025641025641,0.46153846153846156,0.1282051282051282,0.07692307692307693
2019-04-01,35.0,-2.6661707711394342,2.305974816906582,4.972145588046017,3.013868313022192,0.6857142857142857,0.14285714285714285,0.42857142857142855,0.11428571428571428,0.02857142857142857
2019-05-01,105.0,-1.588393806170027,2.582549126081224,4.170942932251252,2.17852588263198,0.7047619047619048,0.5238095238095238,0.6761904761904762,0.2571428571428571,0.09523809523809523
2019-06-01,51.0,-1.7617442190667465,2.2400933271874384,4.001837546254187,3.07442126544427,0.6862745098039216,0.1568627450980392,0.5686274509803921,0.13725490196078433,0.11764705882352941
2019-07-01,39.0,-1.4344911208553563,2.100273913895213,3.5347650347505692,2.3404530695668577,0.6153846153846154,0.1794871794871795,0.46153846153846156,0.1282051282051282,0.07692307692307693
2019-08-01,85.0,-1.8737620215700952,2.566684221572147,4.440446243142243,2.5581529999423704,0.5176470588235295,0.24705882352941178,0.4823529411764706,0.09411764705882353,0.03529411764705882
2019-09-01,21.0,-0.5090721245076112,2.7502256631798323,3.2592977876874443,2.453066365248018,0.5238095238095238,0.047619047619047616,0.38095238095238093,0.0,0.09523809523809523
2019-10-01,81.0,-1.6569615273925564,2.501324667648215,4.158286195040771,2.1671358023827345,0.5555555555555556,0.16049382716049382,0.5555555555555556,0.2962962962962963,0.20987654320987653
2019-11-01,67.0,-1.2384485847520752,2.386573903250615,3.6250224880026893,2.9942428219487804,0.5970149253731343,0.14925373134328357,0.417910447761194,0.19402985074626866,0.08955223880597014
2019-12-01,26.0,-1.9748111637685781,2.4375764490567273,4.412387612825305,3.4060729263178113,0.6923076923076923,0.15384615384615385,0.6538461538461539,0.038461538461538464,0.038461538461538464
2020-01-01,120.0,-1.957371152751146,2.168195413223891,4.125566565975038,2.7425530169676295,0.7083333333333334,0.10833333333333334,0.2916666666666667,0.16666666666666666,0.11666666666666667
2020-02-01,84.0,-2.23770570486297,2.186641510911774,4.424347215774743,2.771379010741163,0.7261904761904762,0.047619047619047616,0.35714285714285715,0.09523809523809523,0.011904761904761904
2020-03-01,89.0,-2.837880453592468,2.2296209966150293,5.067501450207498,2.3308593405323452,0.7303370786516854,0.0,0.3258426966292135,0.0449438202247191,0.0
2020-04-01,143.0,-2.0597144777001013,2.5895169082118414,4.649231385911943,2.484113940713071,0.6783216783216783,0.0,0.23776223776223776,0.11888111888111888,0.013986013986013986
2020-05-01,68.0,-2.1289682422827743,2.214495965438898,4.343464207721674,2.5855219517995898,0.6911764705882353,0.04411764705882353,0.3235294117647059,0.04411764705882353,0.058823529411764705
2020-06-01,27.0,-1.5385577777609445,2.49081502160527,4.029372799366215,2.2983191541884755,0.7407407407407407,0.0,0.4074074074074074,0.2962962962962963,0.0
2020-07-01,89.0,-2.4082167596962445,1.9099995409458033,4.318216300642047,2.390103275294336,0.8314606741573034,0.0,0.4606741573033708,0.0898876404494382,0.33707865168539325
2020-08-01,81.0,-1.6682323104713914,2.3661823183287463,4.034414628800136,2.732509694078066,0.6172839506172839,0.012345679012345678,0.30864197530864196,0.2345679012345679,0.37037037037037035
2020-09-01,94.0,-1.2101468621909193,2.6686331555301543,3.878780017721074,2.987878694143069,0.6808510638297872,0.0,0.3191489361702128,0.0425531914893617,0.05319148936170213
2020-10-01,44.0,-1.4481925304195096,2.3870078153734124,3.8352003457929227,2.092713143469101,0.7045454545454546,0.0,0.18181818181818182,0.11363636363636363,0.0
2020-11-01,38.0,-0.8940718194425434,2.883833031163211,3.7779048506057538,1.9722636613179603,0.7894736842105263,0.02631578947368421,0.3684210526315789,0.18421052631578946,0.10526315789473684
2020-12-01,,,,,,,,,,
2021-01-01,67.0,-0.8171138145593494,2.4799685977080452,3.297082412267395,2.6234855964880057,0.44776119402985076,0.014925373134328358,0.23880597014925373,0.04477611940298507,0.04477611940298507
2021-02-01,12.0,-1.5386635224196414,1.9614205657243389,3.5000840881439803,1.9930721722337164,0.5833333333333334,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
2021-03-01,20.0,-0.5741220710517331,2.5566642707124165,3.1307863417641504,2.5127207482013336,0.6,0.0,0.3,0.1,0.1
2021-04-01,54.0,-1.6885244798622479,2.7015111486770014,4.39003562853925,3.0510833611919344,0.5555555555555556,0.0,0.46296296296296297,0.2037037037037037,0.09259259259259259
2021-05-01,28.0,-0.7267500896248754,2.716225528939179,3.4429756185640557,3.8855934885489885,0.5714285714285714,0.03571428571428571,0.25,0.07142857142857142,0.0
2021-06-01,61.0,-1.1267146878774694,2.6292289132523865,3.755943601129857,2.367333720847199,0.7377049180327869,0.0,0.47540983606557374,0.08196721311475409,0.04918032786885246
2021-07-01,40.0,-1.253249516714953,2.270405016788863,3.523654533503816,2.6901161915566743,0.575,0.05,0.2,0.1,0.05
2021-08-01,,,,,,,,,,
2021-09-01,,,,,,,,,,
2021-10-01,43.0,-2.043393034906894,2.006914176753446,4.05030721166034,1.9133470730099114,0.813953488372093,0.0,0.46511627906976744,0.046511627906976744,0.023255813953488372
2021-11-01,,,,,,,,,,
2021-12-01,47.0,-1.5770975533896883,2.441525436283055,4.018622989672745,2.557506375410596,0.5957446808510638,0.0,0.3191489361702128,0.0851063829787234,0.1702127659574468
2022-01-01,70.0,-0.3849773746646223,2.361091531983469,2.746068906648091,2.2441239650462967,0.2714285714285714,0.02857142857142857,0.11428571428571428,0.0,0.0
2022-02-01,35.0,-0.7086432647456573,2.7882405392311664,3.496883803976825,2.7647479167487785,0.45714285714285713,0.0,0.17142857142857143,0.11428571428571428,0.05714285714285714
