,gdelt_n_events,gdelt_tone_mean,gdelt_goldstein_mean,gdelt_conflict_share,gdelt_coop_share
2014-08-01,393.0,2.3986953161977893,1.0333333333333332,0.07124681933842239,0.5572519083969466
2014-09-01,413.0,2.346025895669963,1.2995157384987894,0.029055690072639227,0.5351089588377724
2014-10-01,519.0,2.4230079205246353,1.496339113680154,0.030828516377649325,0.5915221579961464
2014-11-01,640.0,2.468918410578392,2.51203125,0.0171875,0.7515625
2014-12-01,463.0,2.499869295847681,2.06609071274298,0.04535637149028078,0.6069114470842333
2015-01-01,404.0,2.227778035670122,1.6861386138613863,0.04455445544554455,0.5717821782178217
2015-02-01,258.0,3.157298021712937,1.6445736434108527,0.011627906976744186,0.624031007751938
2015-03-01,231.0,-0.9930659557999887,1.5489177489177488,0.047619047619047616,0.6536796536796536
2015-04-01,453.0,-0.4913561914747181,2.0428256070640174,0.002207505518763797,0.6114790286975718
2015-05-01,729.0,-1.6178859395232041,1.6421124828532234,0.012345679012345678,0.5692729766803841
2015-06-01,498.0,-1.3375553423583768,1.6630522088353412,0.02610441767068273,0.5923694779116466
2015-07-01,851.0,-1.377199996517685,2.118918918918919,0.012925969447708578,0.6521739130434783
2015-08-01,293.0,-2.3244379788797853,1.4924914675767917,0.05802047781569966,0.6006825938566553
2015-09-01,987.0,-1.2046388540065425,1.825835866261398,0.017223910840932118,0.6808510638297872
2015-10-01,795.0,-0.8301626797751142,1.6641509433962265,0.033962264150943396,0.6289308176100629
2015-11-01,387.0,-1.0814912006350448,1.9087855297157623,0.03617571059431524,0.6847545219638242
2015-12-01,604.0,-0.9951808654584748,1.3875827814569535,0.024834437086092714,0.5745033112582781
2016-01-01,688.0,-1.365631639336629,1.6950581395348834,0.0436046511627907,0.5930232558139535
2016-02-01,615.0,-1.511529178642339,1.2367479674796749,0.026016260162601626,0.5788617886178862
2016-03-01,523.0,-1.0496046392507685,1.3636711281070746,0.036328871892925434,0.5430210325047801
2016-04-01,660.0,-1.673101037246766,1.0221212121212122,0.03787878787878788,0.5621212121212121
2016-05-01,366.0,-1.8918793980566238,-0.26038251366120224,0.02459016393442623,0.35792349726775957
2016-06-01,1165.0,-1.6728610140609181,0.7479828326180258,0.03862660944206009,0.544206008583691
2016-07-01,678.0,-1.6479166816497492,0.761504424778761,0.06489675516224189,0.5147492625368731
2016-08-01,399.0,-1.4225929919478137,1.200501253132832,0.015037593984962405,0.5087719298245614
2016-09-01,697.0,-0.6264320170850545,1.5025824964131993,0.02295552367288379,0.5968436154949784
2016-10-01,370.0,-1.4218153157304476,1.5064864864864864,0.024324324324324326,0.6432432432432432
2016-11-01,1014.0,-1.120642579147355,1.997731755424063,0.03944773175542406,0.6518737672583826
2016-12-01,800.0,-1.3149330304280975,0.9983749999999999,0.0375,0.5325
2017-01-01,724.0,-1.210539215875508,1.1341160220994475,0.034530386740331494,0.4861878453038674
2017-02-01,585.0,-1.2012937221632771,1.4642735042735042,0.05641025641025641,0.5982905982905983
2017-03-01,921.0,-1.3986223629661951,1.5622149837133548,0.021715526601520086,0.6047774158523345
2017-04-01,598.0,-2.357031409454673,0.16672240802675584,0.061872909698996656,0.4782608695652174
2017-05-01,676.0,-0.3415537387846801,1.9841715976331364,0.026627218934911243,0.6035502958579881
2017-06-01,621.0,-0.4598288539726138,2.0495974235104666,0.03864734299516908,0.6392914653784219
2017-07-01,372.0,-1.383815313960502,1.0080645161290325,0.013440860215053764,0.5376344086021505
2017-08-01,770.0,-2.4616995285475975,1.0579220779220777,0.03766233766233766,0.509090909090909
2017-09-01,509.0,-1.403346269969842,1.2037328094302555,0.019646365422396856,0.5599214145383105
2017-10-01,293.0,-1.2073684556911108,2.619112627986348,0.017064846416382253,0.6621160409556314
2017-11-01,742.0,-0.805336473073626,1.6397574123989216,0.02425876010781671,0.6293800539083558
2017-12-01,399.0,-1.1577071057954094,0.9330827067669172,0.042606516290726815,0.5463659147869674
2018-01-01,406.0,-0.817976195217019,1.8906403940886698,0.034482758620689655,0.6379310344827587
2018-02-01,451.0,-0.4025597078135562,1.0572062084257208,0.019955654101995565,0.5077605321507761
2018-03-01,665.0,-1.8109922167487496,1.0332330827067668,0.019548872180451128,0.5172932330827068
2018-04-01,339.0,-1.142773207483677,1.7831858407079646,0.038348082595870206,0.5988200589970502
2018-05-01,966.0,-1.7999418509130254,1.653830227743271,0.030020703933747412,0.567287784679089
2018-06-01,933.0,-1.960517843614341,1.319721329046088,0.06430868167202572,0.5916398713826366
2018-07-01,232.0,-2.2895164909387375,1.0668103448275863,0.07327586206896551,0.5
2018-08-01,602.0,-1.6152820061179771,0.5963455149501661,0.024916943521594685,0.4269102990033223
2018-09-01,415.0,-1.9938381154381593,1.4448192771084338,0.03614457831325301,0.5253012048192771
2018-10-01,572.0,-2.1280773804553226,1.1115384615384614,0.022727272727272728,0.48951048951048953
2018-11-01,743.0,-1.428556628774979,1.2329744279946164,0.026917900403768506,0.5383580080753702
2018-12-01,452.0,-2.424650724367481,0.7280973451327434,0.05309734513274336,0.4911504424778761
2019-01-01,760.0,-1.9127463136385394,1.1150000000000002,0.05131578947368421,0.5394736842105263
2019-02-01,730.0,-1.5787538850296694,1.3473972602739726,0.03561643835616438,0.5616438356164384
2019-03-01,735.0,-1.6507158958198591,0.7526530612244897,0.0707482993197279,0.49387755102040815
2019-04-01,628.0,-1.6952447347091906,1.428343949044586,0.014331210191082803,0.5668789808917197
2019-05-01,1205.0,-1.8962832211586798,1.1790871369294604,0.046473029045643155,0.5360995850622406
2019-06-01,418.0,-3.338016638856208,0.3373205741626794,0.03110047846889952,0.45454545454545453
2019-07-01,870.0,-1.8591844756381808,1.9647126436781612,0.028735632183908046,0.6206896551724138
2019-08-01,769.0,-2.989745821349708,1.340962288686606,0.015604681404421327,0.49154746423927176
2019-09-01,295.0,-2.335949594934656,0.920677966101695,0.05423728813559322,0.5322033898305085
2019-10-01,623.0,-1.3228496411669404,1.57223113964687,0.028892455858747994,0.5778491171749599
2019-11-01,666.0,-2.066102029750689,0.9561561561561561,0.05405405405405406,0.521021021021021
2019-12-01,455.0,-1.4499492004747996,0.776043956043956,0.05274725274725275,0.4879120879120879
2020-01-01,1012.0,-0.9024161717129954,2.3614624505928856,0.024703557312252964,0.6185770750988142
2020-02-01,643.0,-3.488159924617686,0.6144634525660965,0.029548989113530325,0.4976671850699845
2020-03-01,358.0,-3.4078856189915356,1.0237430167597765,0.013966480446927373,0.4972067039106145
2020-04-01,1081.0,-3.3456966256314877,0.8586493987049028,0.037927844588344126,0.45235892691951896
2020-05-01,930.0,-3.4852031701838158,0.7003225806451613,0.05161290322580645,0.4043010752688172
2020-06-01,505.0,-2.6704383721056453,0.5093069306930692,0.039603960396039604,0.4792079207920792
2020-07-01,1054.0,-3.0369964801481713,-0.48918406072106263,0.04743833017077799,0.34629981024667933
2020-08-01,431.0,-2.6637914685965245,0.5153132250580046,0.04640371229698376,0.42691415313225056
2020-09-01,943.0,-2.2725219371292567,0.8324496288441146,0.014846235418875928,0.4941675503711559
2020-10-01,408.0,-2.177936835355953,0.3409313725490195,0.0196078431372549,0.41421568627450983
2020-11-01,112.0,-1.4093351480581586,0.4133928571428571,0.05357142857142857,0.44642857142857145
2020-12-01,438.0,-2.4740275686134265,0.8143835616438356,0.02054794520547945,0.4771689497716895
2021-01-01,599.0,-2.809180918506123,0.011185308848080115,0.06343906510851419,0.3823038397328882
2021-02-01,309.0,-1.6914546243589823,1.1715210355987058,0.05501618122977346,0.5760517799352751
2021-03-01,566.0,-1.7342215383642594,1.2512367491166076,0.037102473498233215,0.6060070671378092
2021-04-01,656.0,-2.1262688310420206,0.3969512195121952,0.08689024390243902,0.5411585365853658
2021-05-01,198.0,-2.239413622530316,0.7378787878787878,0.04040404040404041,0.5202020202020202
2021-06-01,508.0,-1.7820909674240617,0.7889763779527559,0.05511811023622047,0.5177165354330708
2021-07-01,411.0,-2.8371864716800523,0.31338199513382,0.038929440389294405,0.44525547445255476
2021-08-01,76.0,-2.2910937023431326,0.34210526315789463,0.039473684210526314,0.5263157894736842
2021-09-01,724.0,-2.4604363224245076,0.6075966850828729,0.034530386740331494,0.4157458563535912
2021-10-01,406.0,-1.7201871073261044,0.6960591133004926,0.029556650246305417,0.4852216748768473
2021-11-01,573.0,-1.9618591563199266,1.4005235602094241,0.041884816753926704,0.5759162303664922
2021-12-01,459.0,-2.1063842239406267,-0.10610021786492374,0.023965141612200435,0.38562091503267976
2022-01-01,203.0,-1.8421159649699341,0.5950738916256159,0.019704433497536946,0.3645320197044335
2022-02-01,222.0,-1.5587320913002642,0.522972972972973,0.06306306306306306,0.5225225225225225
