,finbert_net,finbert_pos,finbert_neg,finbert_vol
2014-11-01,2.468918410578392,,,
2014-12-01,2.499869295847681,,,
2015-01-01,2.227778035670122,,,
2015-02-01,3.157298021712937,,,
2015-03-01,-0.9930659557999887,,,
2015-04-01,-0.4913561914747181,,,
2015-05-01,-1.6178859395232041,,,
2015-06-01,-1.3375553423583768,,,
2015-07-01,-1.377199996517685,,,
2015-08-01,-2.3244379788797853,,,
2015-09-01,-1.2046388540065425,,,
2015-10-01,-0.8301626797751142,,,
2015-11-01,-1.0814912006350448,,,
2015-12-01,-0.9951808654584748,,,
2016-01-01,-1.365631639336629,,,
2016-02-01,-1.511529178642339,,,
2016-03-01,-1.0496046392507685,,,
2016-04-01,-1.673101037246766,,,
2016-05-01,-1.8918793980566238,,,
2016-06-01,-1.6728610140609181,,,
2016-07-01,-1.6479166816497492,,,
2016-08-01,-1.4225929919478137,,,
2016-09-01,-0.6264320170850545,,,
2016-10-01,-1.4218153157304476,,,
2016-11-01,-1.120642579147355,,,
2016-12-01,-1.3149330304280975,,,
2017-01-01,-1.210539215875508,,,
2017-02-01,-1.2012937221632771,,,
2017-03-01,-1.3986223629661951,,,
2017-04-01,-2.357031409454673,,,
2017-05-01,-0.3415537387846801,,,
2017-06-01,-0.4598288539726138,,,
2017-07-01,-1.383815313960502,,,
2017-08-01,-2.4616995285475975,,,
2017-09-01,-1.403346269969842,,,
2017-10-01,-1.2073684556911108,,,
2017-11-01,-0.805336473073626,,,
2017-12-01,-1.1577071057954094,,,
2018-01-01,-0.817976195217019,,,
2018-02-01,-0.4025597078135562,,,
2018-03-01,-1.8109922167487496,,,
2018-04-01,-1.142773207483677,,,
2018-05-01,-1.7999418509130254,,,
2018-06-01,-1.960517843614341,,,
2018-07-01,-2.2895164909387375,,,
2018-08-01,-1.6152820061179771,,,
2018-09-01,-1.9938381154381593,,,
2018-10-01,-2.1280773804553226,,,
2018-11-01,-1.428556628774979,,,
2018-12-01,-2.424650724367481,,,
2019-01-01,-1.9127463136385394,,,
2019-02-01,-1.5787538850296694,,,
2019-03-01,-1.6507158958198591,,,
2019-04-01,-1.6952447347091906,,,
2019-05-01,-1.8962832211586798,,,
2019-06-01,-3.338016638856208,,,
2019-07-01,-1.8591844756381808,,,
2019-08-01,-2.989745821349708,,,
2019-09-01,-2.335949594934656,,,
2019-10-01,-1.3228496411669404,,,
2019-11-01,-2.066102029750689,,,
2019-12-01,-1.4499492004747996,,,
2020-01-01,-0.9024161717129954,,,
2020-02-01,-3.488159924617686,,,
2020-03-01,-3.4078856189915356,,,
2020-04-01,-3.3456966256314877,,,
2020-05-01,-3.4852031701838158,,,
2020-06-01,-2.6704383721056453,,,
2020-07-01,-3.0369964801481713,,,
2020-08-01,-2.6637914685965245,,,
2020-09-01,-2.2725219371292567,,,
2020-10-01,-2.177936835355953,,,
2020-11-01,-1.4093351480581586,,,
2020-12-01,-2.4740275686134265,,,
2021-01-01,-2.809180918506123,,,
2021-02-01,-1.6914546243589823,,,
2021-03-01,-1.7342215383642594,,,
2021-04-01,-2.1262688310420206,,,
2021-05-01,-2.239413622530316,,,
2021-06-01,-1.7820909674240617,,,
2021-07-01,-2.8371864716800523,,,
2021-08-01,-2.2910937023431326,,,
2021-09-01,-2.4604363224245076,,,
2021-10-01,-1.7201871073261044,,,
2021-11-01,-1.9618591563199266,,,
2021-12-01,-2.1063842239406267,,,
2022-01-01,-1.8421159649699341,,,
2022-02-01,-1.5587320913002642,,,
